3.7300 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
13.2846 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

24.5829 	EXP 	window1: blendMode = 'avg'
24.5999 	EXP 	window1: blendMode = 'avg'
24.6168 	EXP 	window1: blendMode = 'avg'
24.6341 	EXP 	window1: blendMode = 'avg'
24.6507 	EXP 	window1: blendMode = 'avg'
24.6677 	EXP 	window1: blendMode = 'avg'
24.6846 	EXP 	window1: blendMode = 'avg'
24.7016 	EXP 	window1: blendMode = 'avg'
24.7185 	EXP 	window1: blendMode = 'avg'
24.7355 	EXP 	window1: blendMode = 'avg'
24.7523 	EXP 	window1: blendMode = 'avg'
24.7692 	EXP 	window1: blendMode = 'avg'
24.7862 	EXP 	window1: blendMode = 'avg'
24.8031 	EXP 	window1: blendMode = 'avg'
24.8201 	EXP 	window1: blendMode = 'avg'
24.8373 	EXP 	window1: blendMode = 'avg'
24.8541 	EXP 	window1: blendMode = 'avg'
24.8710 	EXP 	window1: blendMode = 'avg'
24.8879 	EXP 	window1: blendMode = 'avg'
24.9048 	EXP 	window1: blendMode = 'avg'
24.9221 	EXP 	Sound  started
24.9229 	EXP 	window1: blendMode = 'avg'
24.9394 	EXP 	window1: blendMode = 'avg'
24.9561 	EXP 	window1: blendMode = 'avg'
24.9726 	EXP 	window1: blendMode = 'avg'
